District,Area
Madurai,55983
Nagapattinam,163794
Namakkal,11983
The Nilgiris,318
Perambular,14089
Pudukkottai,73625
Ramanathapuram,116582
Salem,24714
Ariyalur,24408
Chennai,68231
Coimbatore,2034
Cuddalore,139987
Krishnagiri,22805
Dindigul,14989
Erode,34339
Kancheepuram,97738
Kanniyakumari,12957
Karur,13276
Sivaganga,67207
Thanjavur,177426
Theni,14331
Tiruvarur,194743
Thoothukudi,18556
Tiruchirappalli,58571
Tirunelveli,98506
Tiruvannamalai,138880
Vellore,51771
,
Virudhunagar,28607
Tiruppur,10645
Dharmapuri,33349
