State,Avg_rice
Andhra Pradesh,7338.9
Arunachal Pradesh,4906.2
Assam,4906.2
Bihar,4906.2
Chhattisgarh,6366.9
Gujarat,1658.9
Haryana,3842.2
Himachal Pradesh,126.4
Jammu & Kashmir,599.7
Jharkhand,2715.6
Karnataka,3724.1
Kerala,534.3
Madhya Pradesh,2648.9
Maharashtra,2932
Manipur,4461.2
Meghalaya,3421.2
Mizoram,3991.2
Nagaland,2461.7
Orissa,7168.4
Punjab,11025.4
Rajasthan,284.1
Sikkim,456.2
Tamilnadu,5675.7
Telengana,5305.5
Tripura,521.6
Uttar Pradesh,13446.8
Uttarakhand,581.3
West Bengal,14544.7
